Region,Division_IPC,Fecha,Valor_IPC
Noroeste,Prendas de vestir y calzado,2018-02-01,16.3
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2018-02-01,62.5
Noroeste,Equipamiento y mantenimiento del hogar,2018-02-01,19.3
Noroeste,Salud,2018-02-01,24.6
Noroeste,Transporte,2018-02-01,24.6
Noroeste,Comunicación,2018-02-01,44.5
Noroeste,Recreación y cultura,2018-02-01,25.5
Noroeste,Educación,2018-02-01,37.0
Noroeste,Restaurantes y hoteles,2018-02-01,21.0
Noroeste,Bienes y servicios varios,2018-02-01,17.3
Noreste,Nivel general,2018-02-01,23.0
Noreste,Alimentos y bebidas no alcohólicas,2018-02-01,20.7
Noreste,Bebidas alcohólicas y tabaco,2018-02-01,25.6
Noreste,Prendas de vestir y calzado,2018-02-01,12.1
Noreste,"Vivienda, agua, electricidad, gas y otros combustibles",2018-02-01,50.4
Noreste,Equipamiento y mantenimiento del hogar,2018-02-01,15.5
Noreste,Salud,2018-02-01,24.3
Noreste,Transporte,2018-02-01,27.7
Noreste,Comunicación,2018-02-01,36.9
Noreste,Recreación y cultura,2018-02-01,20.4
Noreste,Educación,2018-02-01,25.8
Noreste,Restaurantes y hoteles,2018-02-01,15.0
Noreste,Bienes y servicios varios,2018-02-01,21.4
Cuyo,Nivel general,2018-02-01,26.6
Cuyo,Alimentos y bebidas no alcohólicas,2018-02-01,20.9
Cuyo,Bebidas alcohólicas y tabaco,2018-02-01,23.2
Cuyo,Prendas de vestir y calzado,2018-02-01,15.9
Cuyo,"Vivienda, agua, electricidad, gas y otros combustibles",2018-02-01,60.4
Cuyo,Equipamiento y mantenimiento del hogar,2018-02-01,17.8
Cuyo,Salud,2018-02-01,27.3
Cuyo,Transporte,2018-02-01,30.1
Cuyo,Comunicación,2018-02-01,36.9
Cuyo,Recreación y cultura,2018-02-01,25.0
Cuyo,Educación,2018-02-01,31.4
Cuyo,Restaurantes y hoteles,2018-02-01,25.2
Cuyo,Bienes y servicios varios,2018-02-01,18.7
Patagonia,Nivel general,2018-02-01,23.9
Patagonia,Alimentos y bebidas no alcohólicas,2018-02-01,18.2
Patagonia,Bebidas alcohólicas y tabaco,2018-02-01,20.7
Patagonia,Prendas de vestir y calzado,2018-02-01,12.6
Patagonia,"Vivienda, agua, electricidad, gas y otros combustibles",2018-02-01,46.7
Patagonia,Equipamiento y mantenimiento del hogar,2018-02-01,17.7
Patagonia,Salud,2018-02-01,23.8
Patagonia,Transporte,2018-02-01,29.0
Patagonia,Comunicación,2018-02-01,32.3
Patagonia,Recreación y cultura,2018-02-01,27.9
Patagonia,Educación,2018-02-01,24.3
Patagonia,Restaurantes y hoteles,2018-02-01,21.3
Patagonia,Bienes y servicios varios,2018-02-01,20.2
Nacional,Nivel general,2018-03-01,25.4
Nacional,Alimentos y bebidas no alcohólicas,2018-03-01,21.2
Nacional,Bebidas alcohólicas y tabaco,2018-03-01,20.8
Nacional,Prendas de vestir y calzado,2018-03-01,17.4
Nacional,"Vivienda, agua, electricidad, gas y otros combustibles",2018-03-01,48.0
Nacional,Equipamiento y mantenimiento del hogar,2018-03-01,23.5
Nacional,Salud,2018-03-01,25.8
Nacional,Transporte,2018-03-01,24.6
Nacional,Comunicación,2018-03-01,38.4
Nacional,Recreación y cultura,2018-03-01,23.0
Nacional,Educación,2018-03-01,33.0
Nacional,Restaurantes y hoteles,2018-03-01,23.3
Nacional,Bienes y servicios varios,2018-03-01,20.4
GBA,Nivel general,2018-03-01,25.6
GBA,Alimentos y bebidas no alcohólicas,2018-03-01,22.0
GBA,Bebidas alcohólicas y tabaco,2018-03-01,21.1
GBA,Prendas de vestir y calzado,2018-03-01,18.2
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2018-03-01,45.7
GBA,Equipamiento y mantenimiento del hogar,2018-03-01,24.3
GBA,Salud,2018-03-01,26.0
GBA,Transporte,2018-03-01,21.5
GBA,Comunicación,2018-03-01,36.0
GBA,Recreación y cultura,2018-03-01,22.2
GBA,Educación,2018-03-01,35.1
GBA,Restaurantes y hoteles,2018-03-01,23.1
GBA,Bienes y servicios varios,2018-03-01,21.6
Pampeana,Nivel general,2018-03-01,25.5
Pampeana,Alimentos y bebidas no alcohólicas,2018-03-01,20.3
Pampeana,Bebidas alcohólicas y tabaco,2018-03-01,20.6
Pampeana,Prendas de vestir y calzado,2018-03-01,18.6
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2018-03-01,51.8
Pampeana,Equipamiento y mantenimiento del hogar,2018-03-01,24.0
Pampeana,Salud,2018-03-01,26.4
Pampeana,Transporte,2018-03-01,26.1
Pampeana,Comunicación,2018-03-01,42.1
Pampeana,Recreación y cultura,2018-03-01,22.5
Pampeana,Educación,2018-03-01,32.3
Pampeana,Restaurantes y hoteles,2018-03-01,23.5
Pampeana,Bienes y servicios varios,2018-03-01,20.0
Noroeste,Nivel general,2018-03-01,24.5
Noroeste,Alimentos y bebidas no alcohólicas,2018-03-01,21.2
Noroeste,Bebidas alcohólicas y tabaco,2018-03-01,19.1
Noroeste,Prendas de vestir y calzado,2018-03-01,15.6
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2018-03-01,47.4
Noroeste,Equipamiento y mantenimiento del hogar,2018-03-01,22.2
Noroeste,Salud,2018-03-01,23.2
Noroeste,Transporte,2018-03-01,28.4
Noroeste,Comunicación,2018-03-01,41.3
Noroeste,Recreación y cultura,2018-03-01,28.9
Noroeste,Educación,2018-03-01,29.3
Noroeste,Restaurantes y hoteles,2018-03-01,22.3
Noroeste,Bienes y servicios varios,2018-03-01,16.4
Noreste,Nivel general,2018-03-01,23.0
Noreste,Alimentos y bebidas no alcohólicas,2018-03-01,21.7
Noreste,Bebidas alcohólicas y tabaco,2018-03-01,24.0
Noreste,Prendas de vestir y calzado,2018-03-01,9.9
Noreste,"Vivienda, agua, electricidad, gas y otros combustibles",2018-03-01,39.7
Noreste,Equipamiento y mantenimiento del hogar,2018-03-01,17.9
Noreste,Salud,2018-03-01,23.8
Noreste,Transporte,2018-03-01,31.3
Noreste,Comunicación,2018-03-01,35.9
Noreste,Recreación y cultura,2018-03-01,22.8
Noreste,Educación,2018-03-01,32.4
Noreste,Restaurantes y hoteles,2018-03-01,15.4
Noreste,Bienes y servicios varios,2018-03-01,20.6
Cuyo,Nivel general,2018-03-01,26.1
Cuyo,Alimentos y bebidas no alcohólicas,2018-03-01,21.6
Cuyo,Bebidas alcohólicas y tabaco,2018-03-01,19.8
Cuyo,Prendas de vestir y calzado,2018-03-01,15.0
Cuyo,"Vivienda, agua, electricidad, gas y otros combustibles",2018-03-01,54.2
Cuyo,Equipamiento y mantenimiento del hogar,2018-03-01,21.6
Cuyo,Salud,2018-03-01,27.2
Cuyo,Transporte,2018-03-01,27.9
Cuyo,Comunicación,2018-03-01,37.5
Cuyo,Recreación y cultura,2018-03-01,21.7
Cuyo,Educación,2018-03-01,31.8
Cuyo,Restaurantes y hoteles,2018-03-01,28.7
Cuyo,Bienes y servicios varios,2018-03-01,18.0
Patagonia,Nivel general,2018-03-01,25.1
Patagonia,Alimentos y bebidas no alcohólicas,2018-03-01,18.7
Patagonia,Bebidas alcohólicas y tabaco,2018-03-01,20.3
Patagonia,Prendas de vestir y calzado,2018-03-01,13.9
Patagonia,"Vivienda, agua, electricidad, gas y otros combustibles",2018-03-01,49.3
Patagonia,Equipamiento y mantenimiento del hogar,2018-03-01,21.7
Patagonia,Salud,2018-03-01,24.6
Patagonia,Transporte,2018-03-01,28.5
Patagonia,Comunicación,2018-03-01,33.1
Patagonia,Recreación y cultura,2018-03-01,27.5
Patagonia,Educación,2018-03-01,27.9
Patagonia,Restaurantes y hoteles,2018-03-01,26.6
Patagonia,Bienes y servicios varios,2018-03-01,19.9
Nacional,Nivel general,2018-04-01,25.5
Nacional,Alimentos y bebidas no alcohólicas,2018-04-01,19.9
Nacional,Bebidas alcohólicas y tabaco,2018-04-01,19.5
Nacional,Prendas de vestir y calzado,2018-04-01,16.9
Nacional,"Vivienda, agua, electricidad, gas y otros combustibles",2018-04-01,51.0
Nacional,Equipamiento y mantenimiento del hogar,2018-04-01,23.7
Nacional,Salud,2018-04-01,25.8
Nacional,Transporte,2018-04-01,28.8
Nacional,Comunicación,2018-04-01,30.9
Nacional,Recreación y cultura,2018-04-01,22.2
Nacional,Educación,2018-04-01,30.3
Nacional,Restaurantes y hoteles,2018-04-01,23.7
Nacional,Bienes y servicios varios,2018-04-01,20.3
GBA,Nivel general,2018-04-01,25.6
GBA,Alimentos y bebidas no alcohólicas,2018-04-01,20.3
GBA,Bebidas alcohólicas y tabaco,2018-04-01,19.7
GBA,Prendas de vestir y calzado,2018-04-01,16.2
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2018-04-01,48.6
GBA,Equipamiento y mantenimiento del hogar,2018-04-01,24.4
GBA,Salud,2018-04-01,26.0
GBA,Transporte,2018-04-01,27.3
GBA,Comunicación,2018-04-01,28.2
GBA,Recreación y cultura,2018-04-01,20.8
GBA,Educación,2018-04-01,30.8
GBA,Restaurantes y hoteles,2018-04-01,23.3
GBA,Bienes y servicios varios,2018-04-01,21.0
Pampeana,Nivel general,2018-04-01,25.7
Pampeana,Alimentos y bebidas no alcohólicas,2018-04-01,19.4
Pampeana,Bebidas alcohólicas y tabaco,2018-04-01,19.5
Pampeana,Prendas de vestir y calzado,2018-04-01,18.7
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2018-04-01,53.4
Pampeana,Equipamiento y mantenimiento del hogar,2018-04-01,24.2
Pampeana,Salud,2018-04-01,26.3
Pampeana,Transporte,2018-04-01,29.1
Pampeana,Comunicación,2018-04-01,35.2
Pampeana,Recreación y cultura,2018-04-01,22.6
Pampeana,Educación,2018-04-01,30.4
Pampeana,Restaurantes y hoteles,2018-04-01,24.7
Pampeana,Bienes y servicios varios,2018-04-01,20.5
Noroeste,Nivel general,2018-04-01,24.6
Noroeste,Alimentos y bebidas no alcohólicas,2018-04-01,19.8
Noroeste,Bebidas alcohólicas y tabaco,2018-04-01,18.1
Noroeste,Prendas de vestir y calzado,2018-04-01,16.4
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2018-04-01,51.2
Noroeste,Equipamiento y mantenimiento del hogar,2018-04-01,22.3
Noroeste,Salud,2018-04-01,23.0
Noroeste,Transporte,2018-04-01,30.9
Noroeste,Comunicación,2018-04-01,35.9
Noroeste,Recreación y cultura,2018-04-01,29.5
Noroeste,Educación,2018-04-01,30.2
Noroeste,Restaurantes y hoteles,2018-04-01,21.9
Noroeste,Bienes y servicios varios,2018-04-01,17.3
Noreste,Nivel general,2018-04-01,23.5
Noreste,Alimentos y bebidas no alcohólicas,2018-04-01,20.6
Noreste,Bebidas alcohólicas y tabaco,2018-04-01,22.4
Noreste,Prendas de vestir y calzado,2018-04-01,12.1
Noreste,"Vivienda, agua, electricidad, gas y otros combustibles",2018-04-01,49.6
Noreste,Equipamiento y mantenimiento del hogar,2018-04-01,17.4
Noreste,Salud,2018-04-01,23.1
Noreste,Transporte,2018-04-01,34.2
Noreste,Comunicación,2018-04-01,28.5
Noreste,Recreación y cultura,2018-04-01,20.2
Noreste,Educación,2018-04-01,31.7
Noreste,Restaurantes y hoteles,2018-04-01,16.4
Noreste,Bienes y servicios varios,2018-04-01,18.9
Cuyo,Nivel general,2018-04-01,26.1
Cuyo,Alimentos y bebidas no alcohólicas,2018-04-01,20.3
Cuyo,Bebidas alcohólicas y tabaco,2018-04-01,18.2
Cuyo,Prendas de vestir y calzado,2018-04-01,15.3
Cuyo,"Vivienda, agua, electricidad, gas y otros combustibles",2018-04-01,57.2
Cuyo,Equipamiento y mantenimiento del hogar,2018-04-01,21.8
Cuyo,Salud,2018-04-01,27.4
Cuyo,Transporte,2018-04-01,31.1
Cuyo,Comunicación,2018-04-01,26.6
Cuyo,Recreación y cultura,2018-04-01,21.7
Cuyo,Educación,2018-04-01,28.3
Cuyo,Restaurantes y hoteles,2018-04-01,27.2
Cuyo,Bienes y servicios varios,2018-04-01,18.2
Patagonia,Nivel general,2018-04-01,26.0
Patagonia,Alimentos y bebidas no alcohólicas,2018-04-01,19.8
Patagonia,Bebidas alcohólicas y tabaco,2018-04-01,18.8
Patagonia,Prendas de vestir y calzado,2018-04-01,17.6
Patagonia,"Vivienda, agua, electricidad, gas y otros combustibles",2018-04-01,52.2
Patagonia,Equipamiento y mantenimiento del hogar,2018-04-01,23.2
Patagonia,Salud,2018-04-01,25.2
Patagonia,Transporte,2018-04-01,30.3
Patagonia,Comunicación,2018-04-01,24.6
Patagonia,Recreación y cultura,2018-04-01,24.3
Patagonia,Educación,2018-04-01,27.4
Patagonia,Restaurantes y hoteles,2018-04-01,26.6
Patagonia,Bienes y servicios varios,2018-04-01,19.2
Nacional,Nivel general,2018-05-01,26.3
Nacional,Alimentos y bebidas no alcohólicas,2018-05-01,22.3
Nacional,Bebidas alcohólicas y tabaco,2018-05-01,19.4
Nacional,Prendas de vestir y calzado,2018-05-01,17.1
Nacional,"Vivienda, agua, electricidad, gas y otros combustibles",2018-05-01,47.2
Nacional,Equipamiento y mantenimiento del hogar,2018-05-01,23.0
Nacional,Salud,2018-05-01,26.7
Nacional,Transporte,2018-05-01,30.0
Nacional,Comunicación,2018-05-01,35.6
Nacional,Recreación y cultura,2018-05-01,24.3
Nacional,Educación,2018-05-01,29.3
Nacional,Restaurantes y hoteles,2018-05-01,24.9
Nacional,Bienes y servicios varios,2018-05-01,21.1
GBA,Nivel general,2018-05-01,26.4
GBA,Alimentos y bebidas no alcohólicas,2018-05-01,23.4
GBA,Bebidas alcohólicas y tabaco,2018-05-01,19.2
GBA,Prendas de vestir y calzado,2018-05-01,17.4
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2018-05-01,44.0
GBA,Equipamiento y mantenimiento del hogar,2018-05-01,23.6
GBA,Salud,2018-05-01,27.0
GBA,Transporte,2018-05-01,28.5
GBA,Comunicación,2018-05-01,32.8
GBA,Recreación y cultura,2018-05-01,22.1
GBA,Educación,2018-05-01,28.7
GBA,Restaurantes y hoteles,2018-05-01,24.5
GBA,Bienes y servicios varios,2018-05-01,21.2
Pampeana,Nivel general,2018-05-01,26.6
Pampeana,Alimentos y bebidas no alcohólicas,2018-05-01,21.2
Pampeana,Bebidas alcohólicas y tabaco,2018-05-01,19.6
Pampeana,Prendas de vestir y calzado,2018-05-01,18.1
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2018-05-01,50.2
Pampeana,Equipamiento y mantenimiento del hogar,2018-05-01,23.4
Pampeana,Salud,2018-05-01,26.8
Pampeana,Transporte,2018-05-01,30.2
Pampeana,Comunicación,2018-05-01,40.5
Pampeana,Recreación y cultura,2018-05-01,27.1
Pampeana,Educación,2018-05-01,30.5
Pampeana,Restaurantes y hoteles,2018-05-01,26.3
Pampeana,Bienes y servicios varios,2018-05-01,22.2
Noroeste,Nivel general,2018-05-01,25.6
Noroeste,Alimentos y bebidas no alcohólicas,2018-05-01,21.9
Noroeste,Bebidas alcohólicas y tabaco,2018-05-01,18.1
Noroeste,Prendas de vestir y calzado,2018-05-01,17.6
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2018-05-01,49.5
